id,title,Release Year,runtime,Budget,CPI budget,Budget Type,revenue,genres
15417,Every Which Way but Loose,1978,110,$5000000,$1932603,Low,$85196485,"Action, Comedy, Adventure, Romance, Drama"
295699,Everybody Wants Some!!,2016,116,$10000000,$23379553,Mid,$3400278,Comedy
382142,Everybody's Business,2013,91,$846820,$1705121,Low,$515150,Comedy
26171,Everybody's Fine,2009,99,$21000000,$96112453,High,$16443609,Drama
9716,Everyone Says I Love You,1996,101,$20000000,$20125007,Mid,$9800000,"Comedy, Romance"
15213,Everyone's Hero,2006,87,$35000000,$32000983,Mid,$16627188,"Adventure, Animation, Comedy, Family"
545611,Everything Everywhere All at Once,2022,140,$25000000,$9214042,Low,$139200000,"Action, Adventure, Science Fiction"
340,Everything Is Illuminated,2005,106,$7000000,$6085534,Low,$3601974,"Comedy, Drama"
45658,Everything Must Go,2011,97,$5000000,$4671640,Low,$2614773,"Comedy, Drama, Romance"
11624,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,88,$2000000,$1802735,Low,$18016290,Comedy
417678,"Everything, Everything",2017,96,$10000000,$13846821,Low,$61621140,"Drama, Romance"
45153,Eve's Bayou,1997,109,$6000000,$7570359,Low,$14842388,Drama
175138,Evidence of a Haunting,2010,81,$25000,$44961,Low,$54474,Horror
35119,Evil Angels,1988,120,$15000000,$10849850,Low,$6908797,Drama
109428,Evil Dead,2013,91,$17000000,$34230482,Mid,$97542952,Horror
765,Evil Dead II,1987,84,$3500000,$2817072,Low,$10900000,"Horror, Comedy, Fantasy"
713704,Evil Dead Rise,2023,96,$15000000,$10748115,Low,$146733054,"Thriller, Horror"
348797,Evil Intent,2010,74,$2000,$3597,Low,$10454,Thriller
4193,Evil Under the Sun,1982,117,$10000000,$4810504,Low,$6110804,"Thriller, Crime, Mystery, Drama"
8818,Evita,1996,135,$55000000,$55343768,Mid,$141047179,"History, Drama, Music"
9397,Evolution,2001,101,$80000000,$83491766,High,$98376292,"Comedy, Science Fiction, Action"
264660,Ex Machina,2015,108,$15000000,$372957485,High,$36869414,"Drama, Science Fiction"
29917,Exam,2009,101,$600000,$2746070,Low,$394717,"Thriller, Mystery"
11527,Excalibur,1981,140,$11000000,$3139397,Low,$34967437,"Adventure, Fantasy"
24227,Excessive Force,1993,87,$3000000,$2997833,Low,$1200000,Action
2320,Executive Decision,1996,133,$55000000,$55343768,Mid,$121969216,"Action, Adventure, Drama, Thriller"
1946,eXistenZ,1999,97,$15000000,$20220442,Mid,$2856712,"Action, Thriller, Science Fiction"
10877,Exit Wounds,2001,101,$50000000,$52182353,Mid,$79958599,"Action, Crime, Thriller"
147441,Exodus: Gods and Kings,2014,150,$140000000,$254547947,High,$268031828,"Adventure, Drama, Action"
11586,Exorcist II: The Heretic,1977,118,$14000000,$6351178,Low,$30749142,"Drama, Horror, Thriller"
11026,Exorcist: The Beginning,2004,114,$80000000,$88136405,High,$78000586,"Horror, Mystery, Thriller"
20156,Exotica,1994,104,$2000000,$2262390,Low,$4221036,"Drama, Mystery"
13359,Expelled: No Intelligence Allowed,2008,90,$3500000,$2688999,Low,$7700000,Documentary
299054,Expend4bles,2023,103,$100000000,$71654100,High,$15000000,"Action, Adventure, Thriller"
449350,Expendable Assets,1996,91,$114000,$114713,Low,$24000,"Fantasy, Adventure, History"
9872,Explorers,1985,109,$25000000,$20796822,Mid,$9873044,"Family, Science Fiction, Fantasy"
12569,Extract,2009,92,$8000000,$36614268,Mid,$10848783,Comedy
27569,Extraordinary Measures,2010,105,$31000000,$55751744,Mid,$15134293,Drama
11306,Extreme Measures,1996,118,$38000000,$38237513,Mid,$17380126,"Drama, Thriller"
15074,Extreme Ops,2002,93,$40000000,$74387551,High,$10959475,"Action, Adventure, Thriller"
64685,Extremely Loud & Incredibly Close,2011,129,$40000000,$37373117,Mid,$55247881,Drama
17182,Eye for an Eye,1996,101,$20000000,$20125007,Mid,$26877589,Thriller
333352,Eye in the Sky,2015,102,$13000000,$323229820,High,$18704595,"Drama, Thriller, War"
18681,Eye of the Beholder,1999,109,$15000000,$20220442,Mid,$17589705,"Mystery, Thriller"
46849,Eye of the Dolphin,2007,100,$2500000,$2584879,Low,$72310,"Drama, Family"
79649,Eyes of a Stranger,1981,84,$800000,$228320,Low,$1118634,"Horror, Thriller"
29143,Eyes of Laura Mars,1978,104,$7000000,$2705645,Low,$20000000,"Drama, Mystery, Thriller, Horror"
345,Eyes Wide Shut,1999,159,$65000000,$87621917,High,$162100000,"Drama, Thriller, Mystery"
9873,F/X,1986,109,$10000000,$15539784,Low,$20603715,"Action, Thriller"
385128,F9,2021,143,$200000000,$125568915,High,$726229501,"Action, Adventure, Crime"
754,Face/Off,1997,138,$80000000,$100938115,High,$245676146,"Action, Crime, Science Fiction"
18925,Facing the Giants,2006,111,$100000,$91431,Low,$10178331,Drama
12271,Factory Girl,2006,90,$7000000,$6400197,Low,$3572632,"Drama, History"
1777,Fahrenheit 9/11,2004,123,$6000000,$6610230,Low,$222446882,Documentary
6877,Failure to Launch,2006,97,$50000000,$45715690,Mid,$128406887,"Comedy, Romance"
11859,Fair Game,1995,91,$50000000,$52568342,Mid,$11534477,Action
38363,Fair Game,2010,108,$22000000,$39565753,Mid,$25806953,"Drama, Thriller"
47502,Faithful,1996,91,$13000000,$13081254,Low,$2104439,"Comedy, Crime, Drama"
602145,Fake Friends Episode Two: Parasocial Hell,2018,115,$1000,$1208,Low,$2000,Documentary
270938,Falcon Rising,2014,103,$4500000,$8181898,Low,$11774,"Adventure, Action"
37567,Fall,1997,93,$1000000,$1261726,Low,$51266,"Drama, Romance"
985939,Fall,2022,107,$3000000,$1105685,Low,$16120263,Thriller
9411,Fallen,1998,124,$46000000,$87405776,High,$25232289,"Crime, Drama, Thriller"
37094,Falling Down,1993,113,$25000000,$24981944,Mid,$40903593,"Crime, Drama, Thriller"
52744,Falling in Love,1984,102,$12000000,$8230208,Low,$11129057,"Drama, Romance"
28665,Fame,2009,107,$18000000,$82382103,High,$77211836,"Music, Comedy, Drama, Romance"
3537,Fame,1980,134,$8500000,$1850365,Low,$42000000,"Drama, Music"
5854,Family Plot,1976,120,$2000000,$1026848,Low,$7900000,"Comedy, Crime, Thriller"
49948,Fantasia 2000,1999,74,$80000000,$107842360,High,$60655420,"Animation, Family, Music"
259316,Fantastic Beasts and Where to Find Them,2016,132,$180000000,$420831963,High,$809342332,"Fantasy, Adventure, Family"
338952,Fantastic Beasts: The Crimes of Grindelwald,2018,134,$200000000,$241508669,High,$654855901,"Fantasy, Adventure, Family"
338953,Fantastic Beasts: The Secrets of Dumbledore,2022,142,$200000000,$73712332,High,$406950844,"Fantasy, Adventure, Family"
166424,Fantastic Four,2015,100,$120000000,$2983659876,High,$167977596,"Action, Adventure, Science Fiction"
9738,Fantastic Four,2005,106,$100000000,$86936201,High,$333535934,"Action, Adventure, Fantasy, Science Fiction"
1979,Fantastic Four: Rise of the Silver Surfer,2007,92,$130000000,$134413705,High,$301913131,"Adventure, Fantasy, Action, Thriller"
10315,Fantastic Mr. Fox,2009,87,$40000000,$183071339,High,$46471023,"Adventure, Animation, Comedy, Family"
539537,Fantasy Island,2020,109,$7000000,$16737141,Low,$49447308,"Horror, Fantasy, Adventure, Mystery"
