Title,Release Year,Runtime,Budget,CPI Budget,Revenue,CPI budget,Budget Type,Genres
Wild Bill,1995,98,"30,000,000.00","63,444,881.89","2,193,982.00","31,541,005.00",Mid,Western
Tank Girl,1995,98,"25,000,000.00","52,870,734.91","4,064,495.00","26,284,171.00",Mid,"Action, Comedy, Science Fiction"
Four Rooms,1995,98,"4,000,000.00","8,459,317.59","4,257,354.00","4,205,467.00",Low,Comedy
The Prophecy,1995,98,"8,000,000.00","16,918,635.17","16,115,878.00","8,410,935.00",Low,"Horror, Fantasy, Thriller"
The Tie That Binds,1995,99,"14,000,000.00","29,607,611.55","5,830,454.00","14,719,136.00",Low,Thriller
Village of the Damned,1995,99,"22,000,000.00","46,526,246.72","9,418,365.00","23,130,070.00",Mid,"Thriller, Horror, Science Fiction"
Dangerous Minds,1995,99,"23,000,000.00","48,641,076.12","179,519,401.00","24,181,437.00",Mid,Drama
Beyond Rangoon,1995,100,"23,000,000.00","48,641,076.12","14,700,000.00","24,181,437.00",Mid,"Drama, Thriller"
Heavyweights,1995,100,"10,000,000.00","21,148,293.96","17,689,177.00","10,513,668.00",Low,"Family, Comedy, Drama"
Vampire in Brooklyn,1995,100,"14,000,000.00","29,607,611.55","19,800,000.00","14,719,136.00",Low,"Comedy, Horror"
Now and Then,1995,100,"12,000,000.00","25,377,952.76","27,400,000.00","12,616,402.00",Low,"Comedy, Drama, Romance"
Under Siege 2: Dark Territory,1995,100,"60,000,000.00","126,889,763.78","104,324,083.00","63,082,010.00",Mid,"Action, Thriller"
Casper,1995,100,"50,000,000.00","105,741,469.82","287,928,194.00","52,568,342.00",Mid,"Fantasy, Comedy, Family"
Before Sunrise,1995,101,"2,500,000.00","5,287,073.49","5,987,386.00","2,628,417.00",Low,"Drama, Romance"
Kiss of Death,1995,101,"40,000,000.00","84,593,175.85","14,942,422.00","42,054,673.00",Mid,"Crime, Thriller, Drama"
Grumpier Old Men,1995,101,"25,000,000.00","52,870,734.91","71,500,000.00","26,284,171.00",Mid,"Romance, Comedy"
Mortal Kombat,1995,101,"18,000,000.00","38,066,929.13","122,195,920.00","18,924,603.00",Low,"Action, Fantasy"
The Basketball Diaries,1995,102,"2,000,000.00","4,229,658.79","2,381,087.00","2,102,734.00",Low,"Drama, Crime"
Devil in a Blue Dress,1995,102,"27,000,000.00","57,100,393.70","16,140,822.00","28,386,904.00",Mid,"Thriller, Crime, Drama, Mystery"
Hideaway,1995,103,"15,000,000.00","31,722,440.94","12,201,255.00","15,770,502.00",Low,"Drama, Thriller, Horror"
A Walk in the Clouds,1995,103,"20,000,000.00","42,296,587.93","50,012,507.00","21,027,337.00",Mid,"Drama, Romance"
While You Were Sleeping,1995,103,"17,000,000.00","35,952,099.74","182,057,016.00","17,873,236.00",Low,"Romance, Comedy"
Desperado,1995,104,"7,000,000.00","14,803,805.77","25,405,445.00","7,359,568.00",Low,"Thriller, Action, Crime"
Jumanji,1995,104,"65,000,000.00","137,463,910.76","262,821,940.00","68,338,844.00",Mid,"Adventure, Fantasy, Family"
Get Shorty,1995,105,"30,250,000.00","63,973,589.24","115,101,622.00","31,803,847.00",Mid,"Comedy, Thriller, Crime"
Losing Isaiah,1995,106,"17,000,000.00","35,952,099.74","7,603,766.00","17,873,236.00",Low,Drama
To Die For,1995,106,"20,000,000.00","42,296,587.93","21,284,514.00","21,027,337.00",Mid,"Drama, Comedy, Crime"
The Usual Suspects,1995,106,"6,000,000.00","12,688,976.38","23,341,568.00","6,308,201.00",Low,"Drama, Crime, Thriller"
Virtuosity,1995,106,"30,000,000.00","63,444,881.89","24,048,000.00","31,541,005.00",Mid,"Action, Crime, Science Fiction, Thriller"
Hackers,1995,107,"20,000,000.00","42,296,587.93","7,563,728.00","21,027,337.00",Mid,"Action, Crime, Thriller, Drama"
The Quick and the Dead,1995,107,"35,000,000.00","74,019,028.87","47,000,000.00","36,797,839.00",Mid,"Western, Action"
Screamers,1995,108,"20,000,000.00","42,296,587.93","5,781,885.00","21,027,337.00",Mid,"Horror, Science Fiction"
Roommates,1995,108,"22,000,000.00","46,526,246.72","12,400,000.00","23,130,070.00",Mid,"Drama, Comedy"
Species,1995,108,"35,000,000.00","74,019,028.87","113,374,103.00","36,797,839.00",Mid,"Science Fiction, Horror, Action"
Houseguest,1995,109,"10,500,000.00","22,205,708.66","26,325,256.00","11,039,352.00",Low,"Comedy, Family"
Congo,1995,109,"50,000,000.00","105,741,469.82","152,022,101.00","52,568,342.00",Mid,"Action, Adventure, Science Fiction"
The Hunted,1995,110,"15,000,000.00","31,722,440.94","6,600,000.00","15,770,502.00",Low,"Action, Drama, Thriller"
Sudden Death,1995,110,"35,000,000.00","74,019,028.87","64,350,171.00","36,797,839.00",Mid,Action
Money Train,1995,110,"68,000,000.00","143,808,398.95","77,224,232.00","71,492,944.00",High,"Action, Comedy, Crime"
Powder,1995,111,"9,500,000.00","20,090,879.27","30,862,156.00","9,987,985.00",Low,"Drama, Fantasy, Science Fiction, Thriller"
Leaving Las Vegas,1995,111,"3,600,000.00","7,613,385.83","49,800,000.00","3,784,921.00",Low,"Drama, Romance"
Smoke,1995,112,"7,000,000.00","14,803,805.77","8,349,430.00","7,359,568.00",Low,"Comedy, Drama"
An Awfully Big Adventure,1995,113,"4,000,000.00","8,459,317.59","851,545.00","4,205,467.00",Low,"Romance, Drama, Comedy"
The Perez Family,1995,113,"11,000,000.00","23,263,123.36","2,832,826.00","11,565,035.00",Low,"Comedy, Drama, Romance"
Steal Big Steal Little,1995,113,"25,000,000.00","52,870,734.91","6,278,139.00","26,284,171.00",Mid,"Comedy, Drama"
The American President,1995,114,"62,000,000.00","131,119,422.57","107,879,496.00","65,184,743.00",Mid,"Comedy, Drama, Romance"
The Net,1995,114,"22,000,000.00","46,526,246.72","110,627,965.00","23,130,070.00",Mid,"Crime, Drama, Mystery, Thriller, Action"
Three Wishes,1995,115,"10,000,000.00","21,148,293.96","7,027,000.00","10,513,668.00",Low,"Fantasy, Family, Drama"
Boys on the Side,1995,115,"21,000,000.00","44,411,417.32","23,450,000.00","22,078,703.00",Mid,"Comedy, Drama"
Things to Do in Denver When You're Dead,1995,116,"8,000,000.00","16,918,635.17","529,766.00","8,410,935.00",Low,"Drama, Crime"
How to Make an American Quilt,1995,116,"10,000,000.00","21,148,293.96","41,200,020.00","10,513,668.00",Low,"Drama, Romance"
Crimson Tide,1995,116,"53,000,000.00","112,085,958.01","157,387,195.00","55,722,442.00",Mid,"Thriller, Action"
Two Much,1995,118,"24,000,000.00","50,755,905.51","1,141,556.00","25,232,804.00",Mid,"Comedy, Romance"
Dead Presidents,1995,119,"10,000,000.00","21,148,293.96","24,147,179.00","10,513,668.00",Low,"Action, Crime"
Bad Boys,1995,119,"19,000,000.00","40,181,758.53","141,407,024.00","19,975,970.00",Low,"Action, Comedy, Crime, Thriller"
Dead Man,1995,121,"9,000,000.00","19,033,464.57","103,800,000.00","9,462,301.00",Low,"Drama, Fantasy, Western"
Batman Forever,1995,121,"100,000,000.00","211,482,939.63","336,529,144.00","105,136,683.00",High,"Action, Crime, Fantasy"
Murder in the First,1995,122,"20,000,000.00","42,296,587.93","29,500,000.00","21,027,337.00",Mid,"Crime, Drama"
Dead Man Walking,1995,122,"11,000,000.00","23,263,123.36","39,363,635.00","11,565,035.00",Low,Drama
Cutthroat Island,1995,124,"98,000,000.00","207,253,280.84","10,017,322.00","103,033,949.00",High,"Action, Adventure"
Copycat,1995,124,"20,000,000.00","42,296,587.93","32,000,000.00","21,027,337.00",Mid,"Thriller, Crime, Mystery"
Sabrina,1995,127,"58,000,000.00","122,660,104.99","53,672,080.00","60,979,276.00",Mid,"Comedy, Romance"
Waiting to Exhale,1995,127,"16,000,000.00","33,837,270.34","81,452,156.00","16,821,869.00",Low,"Comedy, Drama, Romance"
Outbreak,1995,127,"50,000,000.00","105,741,469.82","189,859,560.00","52,568,342.00",Mid,"Action, Drama, Science Fiction, Thriller"
Se7en,1995,127,"33,000,000.00","69,789,370.08","327,311,859.00","34,695,105.00",Mid,"Crime, Mystery, Thriller"
Clockers,1995,128,"25,000,000.00","52,870,734.91","13,071,518.00","26,284,171.00",Mid,"Mystery, Crime, Drama"
Die Hard: With a Vengeance,1995,128,"90,000,000.00","190,334,645.67","366,101,666.00","94,623,015.00",High,"Action, Thriller"
Twelve Monkeys,1995,129,"29,000,000.00","61,330,052.49","168,841,459.00","30,489,638.00",Mid,"Science Fiction, Thriller, Mystery"
GoldenEye,1995,130,"58,000,000.00","122,660,104.99","352,194,034.00","60,979,276.00",Mid,"Adventure, Action, Thriller"
Showgirls,1995,131,"45,000,000.00","95,167,322.83","20,350,754.00","47,311,507.00",Mid,Drama
Assassins,1995,132,"50,000,000.00","105,741,469.82","30,303,072.00","52,568,342.00",Mid,"Action, Adventure, Crime, Thriller"
First Knight,1995,134,"55,000,000.00","116,315,616.80","127,600,435.00","57,825,176.00",Mid,"Action, Adventure, Drama, Romance"
Nishana,1995,135,"550,000.00","1,163,156.17","850,000.00","578,252.00",Low,"Drama, Family"
The Scarlet Letter,1995,135,"50,000,000.00","105,741,469.82","10,382,407.00","52,568,342.00",Mid,"Drama, Romance, Western"
The Bridges of Madison County,1995,135,"24,000,000.00","50,755,905.51","182,016,617.00","25,232,804.00",Mid,"Drama, Romance"
Waterworld,1995,135,"175,000,000.00","370,095,144.36","264,218,220.00","183,989,195.00",High,"Adventure, Action, Science Fiction"
Sense and Sensibility,1995,136,"16,000,000.00","33,837,270.34","134,582,776.00","16,821,869.00",Low,"Drama, Romance"
Mr. Holland's Opus,1995,137,"31,000,000.00","65,559,711.29","106,269,971.00","32,592,372.00",Mid,"Drama, Music, Family"
Jefferson in Paris,1995,139,"14,000,000.00","29,607,611.55","2,474,000.00","14,719,136.00",Low,"Drama, Romance, History"
Rob Roy,1995,139,"28,000,000.00","59,215,223.10","31,596,911.00","29,438,271.00",Mid,"Adventure, History, Drama, Action, War"
Apollo 13,1995,140,"52,000,000.00","109,971,128.61","355,237,933.00","54,671,075.00",Mid,"Drama, History"
Strange Days,1995,145,"42,000,000.00","88,822,834.65","7,959,291.00","44,157,407.00",Mid,"Crime, Drama, Science Fiction, Thriller"
Heat,1995,170,"60,000,000.00","126,889,763.78","187,436,818.00","63,082,010.00",Mid,"Action, Crime, Drama"
Braveheart,1995,177,"72,000,000.00","152,267,716.54","213,216,216.00","75,698,412.00",High,"Action, Drama, History, War"
Casino,1995,179,"50,000,000.00","105,741,469.82","116,112,375.00","52,568,342.00",Mid,"Crime, Drama"
Nixon,1995,192,"44,000,000.00","93,052,493.44","13,681,765.00","46,260,141.00",Mid,"Drama, History"
Joe's Apartment,1996,78,"13,000,000.00","26,704,270.24","4,619,014.00","13,081,254.00",Low,"Comedy, Fantasy"
James and the Giant Peach,1996,79,"38,000,000.00","78,058,636.07","28,946,127.00","38,237,513.00",Mid,"Adventure, Animation, Family, Fantasy"
Gray's Anatomy,1996,80,"350,000.00","718,961.12","29,090.00","352,188.00",Low,"Documentary, Comedy, Drama"
Bad Moon,1996,80,"7,000,000.00","14,379,222.43","1,100,000.00","7,043,752.00",Low,Horror
Beavis and Butt-Head Do America,1996,80,"12,000,000.00","24,650,095.60","63,118,386.00","12,075,004.00",Low,"Animation, Comedy"
Spy Hard,1996,81,"18,000,000.00","36,975,143.40","27,000,000.00","18,112,506.00",Low,"Comedy, Action"
Army Daze,1996,84,"507,000.00","1,041,466.54","1,160,000.00","510,169.00",Low,Comedy
Bulletproof,1996,84,"25,000,000.00","51,354,365.84","22,611,954.00","25,156,258.00",Mid,"Comedy, Crime, Action"
Hellraiser: Bloodline,1996,86,"4,000,000.00","8,216,698.53","16,675,000.00","4,025,001.00",Low,"Horror, Science Fiction"
Bordello of Blood,1996,87,"15,000,000.00","30,812,619.50","5,600,000.00","15,093,755.00",Low,"Horror, Comedy"
Curdled,1996,88,"2,300,000.00","4,724,601.66","49,620.00","2,314,376.00",Low,"Comedy, Crime, Thriller"
Manny & Lo,1996,88,"500,000.00","1,027,087.32","431,326.00","503,125.00",Low,"Drama, Comedy"
The Wind in the Willows,1996,88,"15,400,000.00","31,634,289.36","2,300,000.00","15,496,255.00",Low,"Fantasy, Comedy, Family, Adventure"
Welcome to the Dollhouse,1996,88,"800,000.00","1,643,339.71","5,034,794.00","805,000.00",Low,"Comedy, Drama"
Space Jam,1996,88,"80,000,000.00","164,333,970.68","250,200,000.00","80,500,027.00",High,"Family, Animation, Comedy, Science Fiction"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,89,"3,800,000.00","7,805,863.61","20,109,115.00","3,823,751.00",Low,Comedy
Doctor Who,1996,89,"5,000,000.00","10,270,873.17","42,000,000.00","5,031,252.00",Low,"TV Movie, Adventure, Science Fiction"
Jingle All the Way,1996,89,"60,000,000.00","123,250,478.01","129,832,389.00","60,375,020.00",Mid,"Family, Comedy, Adventure"
Big Bully,1996,90,"15,000,000.00","30,812,619.50","2,042,530.00","15,093,755.00",Low,Comedy
A Very Brady Sequel,1996,90,"12,000,000.00","24,650,095.60","21,440,752.00","12,075,004.00",Low,"Family, Comedy"
Sgt. Bilko,1996,90,"39,000,000.00","80,112,810.71","37,956,793.00","39,243,763.00",Mid,Comedy
Expendable Assets,1996,91,"114,000.00","234,175.91","24,000.00","114,713.00",Low,"Fantasy, Adventure, History"
Bottle Rocket,1996,91,"7,000,000.00","14,379,222.43","1,040,879.00","7,043,752.00",Low,"Comedy, Crime, Drama"
Faithful,1996,91,"13,000,000.00","26,704,270.24","2,104,439.00","13,081,254.00",Low,"Comedy, Crime, Drama"
The Hunchback of Notre Dame,1996,91,"100,000,000.00","205,417,463.35","325,338,851.00","100,625,033.00",High,"Drama, Animation, Family"
Lawnmower Man 2: Beyond Cyberspace,1996,92,"15,000,000.00","30,812,619.50","2,409,225.00","15,093,755.00",Low,"Science Fiction, Horror, Action, Thriller"
If Lucy Fell,1996,92,"5,000,000.00","10,270,873.17","2,420,162.00","5,031,252.00",Low,"Comedy, Romance"
Flirting with Disaster,1996,92,"7,000,000.00","14,379,222.43","14,702,438.00","7,043,752.00",Low,Comedy
Thinner,1996,92,"8,000,000.00","16,433,397.07","15,315,484.00","8,050,003.00",Low,"Horror, Thriller"
The Glimmer Man,1996,92,"45,000,000.00","92,437,858.51","20,350,000.00","45,281,265.00",Mid,"Action, Crime"
Happy Gilmore,1996,92,"12,000,000.00","24,650,095.60","41,205,099.00","12,075,004.00",Low,Comedy
Silent Trigger,1996,93,"15,000,000.00","30,812,619.50","76,382.00","15,093,755.00",Low,"Drama, Action, Thriller"
Larger Than Life,1996,93,"30,000,000.00","61,625,239.01","8,315,693.00","30,187,510.00",Mid,Comedy
Kazaam,1996,93,"20,000,000.00","41,083,492.67","18,937,262.00","20,125,007.00",Mid,"Fantasy, Comedy, Family"
The Stupids,1996,94,"25,000,000.00","51,354,365.84","2,491,989.00","25,156,258.00",Mid,"Comedy, Family"
Trainspotting,1996,94,"4,000,000.00","8,216,698.53","16,491,080.00","4,025,001.00",Low,"Drama, Crime"
The Crow: City of Angels,1996,94,"13,000,000.00","26,704,270.24","17,917,287.00","13,081,254.00",Low,"Action, Fantasy, Thriller"
Space Truckers,1996,95,"25,000,000.00","51,354,365.84","1,614,266.00","25,156,258.00",Mid,"Comedy, Science Fiction, Thriller, Adventure"
Bio-Dome,1996,95,"8,500,000.00","17,460,484.38","13,400,000.00","8,553,128.00",Low,Comedy
Flipper,1996,95,"25,530,000.00","52,443,078.39","20,080,020.00","25,689,571.00",Mid,"Adventure, Family"
The Quest,1996,95,"30,000,000.00","61,625,239.01","57,400,547.00","30,187,510.00",Mid,"Action, Adventure"
The Nutty Professor,1996,95,"54,000,000.00","110,925,430.21","128,769,345.00","54,337,518.00",Mid,"Fantasy, Comedy, Romance, Science Fiction"
Swingers,1996,96,"200,000.00","410,834.93","4,505,922.00","201,250.00",Low,Comedy
She's the One,1996,96,"3,500,000.00","7,189,611.22","9,538,948.00","3,521,876.00",Low,"Romance, Comedy"
The Island of Dr. Moreau,1996,96,"40,000,000.00","82,166,985.34","49,627,779.00","40,250,013.00",Mid,"Science Fiction, Horror"
The Cable Guy,1996,96,"47,000,000.00","96,546,207.78","102,825,796.00","47,293,766.00",Mid,"Comedy, Drama, Thriller"
The Pallbearer,1996,97,"8,000,000.00","16,433,397.07","5,656,388.00","8,050,003.00",Low,"Comedy, Romance"
Escape from L.A.,1996,97,"50,000,000.00","102,708,731.68","42,277,365.00","50,312,517.00",Mid,"Action, Adventure, Science Fiction, Thriller"
Marvin's Room,1996,98,"23,000,000.00","47,246,016.57","12,803,305.00","23,143,758.00",Mid,Drama
Fled,1996,98,"25,000,000.00","51,354,365.84","17,193,231.00","25,156,258.00",Mid,Action
Matilda,1996,98,"36,000,000.00","73,950,286.81","33,459,416.00","36,225,012.00",Mid,"Comedy, Family, Science Fiction"
Fargo,1996,98,"7,000,000.00","14,379,222.43","60,611,975.00","7,043,752.00",Low,"Crime, Drama, Thriller"
The Funeral,1996,99,"12,500,000.00","25,677,182.92","1,227,324.00","12,578,129.00",Low,"Crime, Drama"
Original Gangstas,1996,99,"4,800,000.00","9,860,038.24","3,014,000.00","4,830,002.00",Low,"Action, Drama, Crime, Thriller"
The Phantom,1996,100,"45,000,000.00","92,437,858.51","17,300,889.00","45,281,265.00",Mid,"Adventure, Action"
Eddie,1996,100,"30,000,000.00","61,625,239.01","31,387,164.00","30,187,510.00",Mid,"Action, Comedy"
Muppet Treasure Island,1996,100,"31,000,000.00","63,679,413.64","34,327,391.00","31,193,760.00",Mid,"Action, Comedy, Music, Family, Adventure, Romance"
Maximum Risk,1996,100,"25,000,000.00","51,354,365.84","51,702,483.00","25,156,258.00",Mid,"Action, Thriller"
Blood and Wine,1996,101,"26,000,000.00","53,408,540.47","1,094,668.00","26,162,509.00",Mid,"Crime, Thriller"
Everyone Says I Love You,1996,101,"20,000,000.00","41,083,492.67","9,800,000.00","20,125,007.00",Mid,"Comedy, Romance"
The Craft,1996,101,"15,000,000.00","30,812,619.50","24,819,936.00","15,093,755.00",Low,"Horror, Drama, Fantasy"
Eye for an Eye,1996,101,"20,000,000.00","41,083,492.67","26,877,589.00","20,125,007.00",Mid,Thriller
Last Man Standing,1996,101,"67,000,000.00","137,629,700.45","47,267,001.00","67,418,772.00",Mid,"Crime, Action, Western"
The First Wives Club,1996,102,"26,000,000.00","53,408,540.47","116,400,000.00","26,162,509.00",Mid,Comedy
DragonHeart,1996,103,"57,000,000.00","117,087,954.11","115,267,375.00","57,356,269.00",Mid,"Fantasy, Action, Adventure, Drama"
101 Dalmatians,1996,103,"54,000,000.00","110,925,430.21","320,689,294.00","54,337,518.00",Mid,"Family, Comedy"
Citizen Ruth,1996,104,"3,000,000.00","6,162,523.90","285,112.00","3,018,751.00",Low,"Drama, Comedy"
Mary Reilly,1996,104,"47,000,000.00","96,546,207.78","12,379,402.00","47,293,766.00",Mid,"Drama, Horror, Thriller"
Bound,1996,105,"4,500,000.00","9,243,785.85","7,011,317.00","4,528,127.00",Low,"Drama, Thriller"
Mrs. Winterbourne,1996,105,"25,000,000.00","51,354,365.84","10,082,005.00","25,156,258.00",Mid,"Romance, Drama"
Shine,1996,105,"5,500,000.00","11,297,960.48","35,892,330.00","5,534,377.00",Low,Drama
Mars Attacks!,1996,106,"70,000,000.00","143,792,224.35","101,371,017.00","70,437,523.00",High,"Comedy, Fantasy, Science Fiction"
Big Night,1996,107,"4,100,000.00","8,422,116.00","12,008,376.00","4,125,626.00",Low,"Drama, Romance"
Fly Away Home,1996,107,"22,000,000.00","45,191,841.94","25,143,818.00","22,137,507.00",Mid,"Action, Adventure, Drama, Family"
Diabolique,1996,107,"45,000,000.00","92,437,858.51","52,400,000.00","45,281,265.00",Mid,"Mystery, Thriller, Horror"
Chain Reaction,1996,107,"50,000,000.00","102,708,731.68","60,209,334.00","50,312,517.00",Mid,"Science Fiction, Action, Drama, Thriller"
Basquiat,1996,108,"2,962,051.00","6,084,570.03","3,011,195.00","2,980,565.00",Low,"Drama, History"
Girl 6,1996,108,"12,000,000.00","24,650,095.60","4,939,939.00","12,075,004.00",Low,"Comedy, Drama"
Before and After,1996,108,"35,000,000.00","71,896,112.17","8,797,839.00","35,218,762.00",Mid,"Drama, Thriller, Mystery"
From Dusk Till Dawn,1996,108,"19,000,000.00","39,029,318.04","25,836,616.00","19,118,756.00",Low,"Horror, Action, Thriller, Crime"
That Thing You Do!,1996,108,"26,000,000.00","53,408,540.47","34,585,416.00","26,162,509.00",Mid,"Comedy, Drama, Romance, Music"
A Thin Line Between Love and Hate,1996,108,"8,000,000.00","16,433,397.07","34,746,109.00","8,050,003.00",Low,"Comedy, Thriller, Crime, Romance"
Broken Arrow,1996,108,"50,000,000.00","102,708,731.68","150,270,147.00","50,312,517.00",Mid,"Action, Thriller, Adventure"
Alaska,1996,109,"23,000,000.00","47,246,016.57","11,829,959.00","23,143,758.00",Mid,"Adventure, Family"
The Ghost and the Darkness,1996,109,"50,000,000.00","102,708,731.68","38,619,405.00","50,312,517.00",Mid,"Adventure, Action, Thriller"
The Frighteners,1996,110,"30,000,000.00","61,625,239.01","29,359,216.00","30,187,510.00",Mid,"Horror, Comedy"
Mission: Impossible,1996,110,"80,000,000.00","164,333,970.68","457,731,198.00","80,500,027.00",High,"Adventure, Action, Thriller"
Star Trek: First Contact,1996,111,"46,000,000.00","94,492,033.14","150,000,000.00","46,287,515.00",Mid,"Science Fiction, Action, Adventure, Thriller"
Scream,1996,112,"15,000,000.00","30,812,619.50","173,046,663.00","15,093,755.00",Low,"Crime, Horror, Mystery"
The Chamber,1996,113,"50,000,000.00","102,708,731.68","22,540,359.00","50,312,517.00",Mid,"Crime, Drama"
Jack,1996,113,"45,000,000.00","92,437,858.51","58,620,973.00","45,281,265.00",Mid,"Comedy, Family, Drama"
Twister,1996,113,"92,000,000.00","188,984,066.28","494,471,524.00","92,575,031.00",High,"Action, Adventure, Drama"
The Associate,1996,114,"23,000,000.00","47,246,016.57","12,800,000.00","23,143,758.00",Mid,Comedy
Kingpin,1996,114,"27,000,000.00","55,462,715.11","25,023,434.00","27,168,759.00",Mid,Comedy
The Arrival,1996,115,"25,000,000.00","51,354,365.84","14,063,331.00","25,156,258.00",Mid,"Science Fiction, Thriller"
Striptease,1996,115,"50,000,000.00","102,708,731.68","113,309,743.00","50,312,517.00",Mid,"Comedy, Crime, Drama"
Daylight,1996,115,"80,000,000.00","164,333,970.68","159,212,469.00","80,500,027.00",High,"Action, Adventure, Thriller"
Eraser,1996,115,"100,000,000.00","205,417,463.35","242,295,562.00","100,625,033.00",High,"Action, Drama, Mystery, Thriller"
Grace of My Heart,1996,116,"5,000,000.00","10,270,873.17","660,313.00","5,031,252.00",Low,"Comedy, Drama, Music"
The Fan,1996,116,"55,000,000.00","112,979,604.84","18,626,419.00","55,343,768.00",Mid,"Thriller, Action"
Courage Under Fire,1996,116,"46,000,000.00","94,492,033.14","100,860,818.00","46,287,515.00",Mid,"Drama, Thriller, Mystery, War"
Kama Sutra: A Tale of Love,1996,117,"3,000,000.00","6,162,523.90","4,109,095.00","3,018,751.00",Low,"Drama, History, Romance"
The Spitfire Grill,1996,117,"6,000,000.00","12,325,047.80","12,643,776.00","6,037,502.00",Low,"Comedy, Drama"
Multiplicity,1996,117,"45,000,000.00","92,437,858.51","21,075,014.00","45,281,265.00",Mid,"Comedy, Fantasy, Science Fiction"
Extreme Measures,1996,118,"38,000,000.00","78,058,636.07","17,380,126.00","38,237,513.00",Mid,"Drama, Thriller"
The Juror,1996,118,"44,000,000.00","90,383,683.88","22,754,725.00","44,275,015.00",Mid,Thriller
The Birdcage,1996,119,"31,000,000.00","63,679,413.64","185,260,553.00","31,193,760.00",Mid,Comedy
Get on the Bus,1996,120,"2,400,000.00","4,930,019.12","5,731,103.00","2,415,001.00",Low,Drama
Romeo + Juliet,1996,120,"14,500,000.00","29,785,532.19","147,298,761.00","14,590,630.00",Low,"Drama, Romance"
Emma,1996,121,"6,000,000.00","12,325,047.80","22,231,658.00","6,037,502.00",Low,"Romance, Comedy, Drama"
The Long Kiss Goodnight,1996,121,"65,000,000.00","133,521,351.18","89,456,761.00","65,406,272.00",Mid,"Crime, Action, Mystery, Thriller"
Ransom,1996,121,"80,000,000.00","164,333,970.68","309,492,681.00","80,500,027.00",High,"Action, Thriller"
Jude,1996,123,"7,000,000.00","14,379,222.43","409,144.00","7,043,752.00",Low,"Drama, Romance"
Set It Off,1996,123,"9,000,000.00","18,487,571.70","41,590,886.00","9,056,253.00",Low,"Crime, Drama, Thriller"
Phenomenon,1996,123,"32,000,000.00","65,733,588.27","152,036,382.00","32,200,011.00",Mid,"Drama, Romance, Science Fiction"
The Crucible,1996,124,"25,000,000.00","51,354,365.84","7,343,114.00","25,156,258.00",Mid,"Drama, History"
The Preacher's Wife,1996,124,"40,000,000.00","82,166,985.34","48,102,795.00","40,250,013.00",Mid,"Family, Fantasy, Drama, Comedy, Romance"
Surviving Picasso,1996,125,"16,000,000.00","32,866,794.14","1,985,001.00","16,100,005.00",Low,"Drama, Romance"
The Mirror Has Two Faces,1996,126,"42,000,000.00","86,275,334.61","41,083,864.00","42,262,514.00",Mid,"Comedy, Drama, Romance"
White Squall,1996,129,"38,000,000.00","78,058,636.07","10,300,000.00","38,237,513.00",Mid,"Drama, Adventure"
Primal Fear,1996,129,"30,000,000.00","61,625,239.01","102,616,183.00","30,187,510.00",Mid,"Crime, Drama, Mystery, Thriller"
Ghosts of Mississippi,1996,130,"36,000,000.00","73,950,286.81","13,323,144.00","36,225,012.00",Mid,Drama
The People vs. Larry Flynt,1996,130,"36,000,000.00","73,950,286.81","20,300,385.00","36,225,012.00",Mid,Drama
Heaven's Prisoners,1996,132,"25,000,000.00","51,354,365.84","5,009,305.00","25,156,258.00",Mid,"Drama, Mystery, Thriller"
Michael Collins,1996,132,"25,000,000.00","51,354,365.84","16,900,000.00","25,156,258.00",Mid,"War, Drama, Thriller, History"
Executive Decision,1996,133,"55,000,000.00","112,979,604.84","121,969,216.00","55,343,768.00",Mid,"Action, Adventure, Drama, Thriller"
Twelfth Night,1996,134,"5,000,000.00","10,270,873.17","33,000,000.00","5,031,252.00",Low,"Drama, Comedy, Romance"
Lone Star,1996,135,"5,000,000.00","10,270,873.17","13,269,963.00","5,031,252.00",Low,"Drama, Mystery, Romance"
Sling Blade,1996,135,"1,200,000.00","2,465,009.56","34,100,000.00","1,207,500.00",Low,Drama
Tin Cup,1996,135,"45,000,000.00","92,437,858.51","53,854,588.00","45,281,265.00",Mid,"Comedy, Romance"
Evita,1996,135,"55,000,000.00","112,979,604.84","141,047,179.00","55,343,768.00",Mid,"History, Drama, Music"
The Rock,1996,137,"75,000,000.00","154,063,097.51","335,062,621.00","75,468,775.00",High,"Action, Adventure, Thriller"
Jerry Maguire,1996,139,"50,000,000.00","102,708,731.68","273,552,592.00","50,312,517.00",Mid,"Comedy, Drama, Romance"
Secrets & Lies,1996,142,"4,500,000.00","9,243,785.85","13,417,292.00","4,528,127.00",Low,Drama
Independence Day,1996,145,"75,000,000.00","154,063,097.51","817,400,891.00","75,468,775.00",High,"Action, Adventure, Science Fiction"
Sleepers,1996,147,"44,000,000.00","90,383,683.88","165,615,285.00","44,275,015.00",Mid,"Crime, Drama, Thriller"
A Time to Kill,1996,149,"40,000,000.00","82,166,985.34","152,266,007.00","40,250,013.00",Mid,"Crime, Drama, Thriller"
The English Patient,1996,162,"27,000,000.00","55,462,715.11","231,976,425.00","27,168,759.00",Mid,"Drama, Romance, War"
Running Time,1997,69,"130,000.00","261,052.96","1,596.00","164,024.00",Low,Crime
