Title,Release Year,Runtime,Budget,CPI Budget,Revenue,CPI budget,Budget Type,Genres
The Legend of Boggy Creek,1972,87,"160,000.00","1,233,684.21","22,000,000.00","144,219.00",Low,"Mystery, Horror, Drama"
Conquest of the Planet of the Apes,1972,88,"1,700,000.00","13,107,894.74","9,700,000.00","1,532,325.00",Low,"Action, Science Fiction"
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,88,"2,000,000.00","15,421,052.63","18,016,290.00","1,802,735.00",Low,Comedy
Super Fly,1972,91,"500,000.00","3,855,263.16","30,000,000.00","450,684.00",Low,"Crime, Drama"
Sisters,1972,93,"500,000.00","3,855,263.16","1,000,000.00","450,684.00",Low,"Thriller, Horror, Mystery"
Pink Flamingos,1972,93,"12,000.00","92,526.32","6,000,000.00","10,816.00",Low,"Comedy, Crime"
"What's Up, Doc?",1972,94,"4,000,000.00","30,842,105.26","66,000,000.00","3,605,470.00",Low,"Comedy, Romance"
The Hot Rock,1972,101,"4,895,000.00","37,743,026.32","3,500,000.00","4,412,194.00",Low,"Crime, Comedy"
Skyjacked,1972,101,"1,700,000.00","13,107,894.74","6,550,000.00","1,532,325.00",Low,"Action, Drama, Thriller"
Shaft's Big Score!,1972,104,"1,978,000.00","15,251,421.05","10,000,000.00","1,782,905.00",Low,"Action, Adventure, Crime, Mystery"
Jeremiah Johnson,1972,108,"3,100,000.00","23,902,631.58","44,700,000.00","2,794,239.00",Low,"Adventure, Western"
Deliverance,1972,109,"2,000,000.00","15,421,052.63","46,122,355.00","1,802,735.00",Low,"Drama, Adventure, Thriller"
The Candidate,1972,110,"1,600,000.00","12,336,842.11","2,500,000.00","1,442,188.00",Low,"Comedy, Drama"
Frenzy,1972,116,"3,500,000.00","26,986,842.11","12,600,000.00","3,154,786.00",Low,"Crime, Thriller, Horror, Comedy"
The Poseidon Adventure,1972,117,"5,000,000.00","38,552,631.58","84,563,118.00","4,506,837.00",Low,"Adventure, Thriller, Action"
The Getaway,1972,123,"3,352,254.00","25,847,642.68","36,734,619.00","3,021,613.00",Low,"Action, Crime, Thriller"
The Cowboys,1972,131,"6,000,000.00","46,263,157.89","7,500,000.00","5,408,205.00",Low,"Western, Adventure, Drama, Action"
Sleuth,1972,138,"3,500,000.00","26,986,842.11","5,750,000.00","3,154,786.00",Low,"Mystery, Thriller, Crime, Comedy"
The Godfather,1972,175,"6,000,000.00","46,263,157.89","245,066,411.00","5,408,205.00",Low,"Drama, Crime"
1776,1972,180,"6,000,000.00","46,263,157.89","2,800,000.00","5,408,205.00",Low,"Drama, History"
Heavy Traffic,1973,76,"950,000.00","6,896,058.56","1,500,000.00","453,570.00",Low,"Animation, Comedy, Drama"
Robin Hood,1973,83,"5,000,000.00","36,295,045.05","32,056,467.00","2,387,212.00",Low,"Animation, Family"
"Black Mama, White Mama",1973,87,"200,000.00","1,451,801.80","1,000,000.00","95,488.00",Low,"Action, Crime, Thriller"
Sleeper,1973,87,"2,000,000.00","14,518,018.02","18,344,729.00","954,885.00",Low,"Comedy, Science Fiction"
Westworld,1973,89,"1,200,000.00","8,710,810.81","10,000,000.00","572,931.00",Low,"Adventure, Science Fiction, Western"
The Student Teachers,1973,90,"100,000.00","725,900.90","1,078,000.00","47,744.00",Low,"Comedy, Thriller"
Coffy,1973,90,"500,000.00","3,629,504.50","4,000,000.00","238,721.00",Low,"Action, Thriller, Crime"
Battle for the Planet of the Apes,1973,93,"1,700,000.00","12,340,315.32","8,844,595.00","811,652.00",Low,"Action, Science Fiction"
The Last American Hero,1973,95,"2,000,000.00","14,518,018.02","1,000,000.00","954,885.00",Low,Drama
Enter the Dragon,1973,102,"10,000,000.00","72,590,090.09","21,485,066.00","4,774,425.00",Low,Action
Paper Moon,1973,102,"2,500,000.00","18,147,522.52","30,900,000.00","1,193,606.00",Low,"Comedy, Crime, Drama"
The Last Detail,1973,104,"2,300,000.00","16,695,720.72","10,000,000.00","1,098,118.00",Low,"Drama, Comedy"
High Plains Drifter,1973,105,"5,500,000.00","39,924,549.55","15,700,000.00","2,625,934.00",Low,"Western, Drama, Mystery"
Dillinger,1973,107,"1,000,000.00","7,259,009.01","2,000,000.00","477,442.00",Low,"Action, Crime, Drama"
American Graffiti,1973,110,"777,000.00","5,640,250.00","140,000,000.00","370,973.00",Low,"Comedy, Drama"
Mean Streets,1973,111,"500,000.00","3,629,504.50","3,000,000.00","238,721.00",Low,"Drama, Crime"
The Long Goodbye,1973,112,"1,700,000.00","12,340,315.32","959,000.00","811,652.00",Low,"Mystery, Crime"
Shaft in Africa,1973,112,"2,142,000.00","15,548,797.30","1,458,000.00","1,022,682.00",Low,"Action, Crime"
Pat Garrett & Billy the Kid,1973,116,"4,638,783.00","33,672,967.59","11,000,000.00","2,214,752.00",Low,Western
The Way We Were,1973,118,"5,000,000.00","36,295,045.05","50,000,000.00","2,387,212.00",Low,"Drama, Romance"
Live and Let Die,1973,121,"7,000,000.00","50,813,063.06","126,377,836.00","3,342,097.00",Low,"Adventure, Action, Thriller"
The Exorcist,1973,122,"12,000,000.00","87,108,108.11","441,405,644.00","5,729,310.00",Low,Horror
The Sting,1973,129,"5,500,000.00","39,924,549.55","159,616,327.00","2,625,934.00",Low,"Comedy, Crime, Drama"
Serpico,1973,130,"3,000,000.00","21,777,027.03","29,800,000.00","1,432,327.00",Low,"Crime, Drama, History"
Lost Horizon,1973,147,"5,900,000.00","42,828,153.15","3,800,000.00","2,816,911.00",Low,"Adventure, Drama, Fantasy, Music, Romance"
Papillon,1973,151,"12,000,000.00","87,108,108.11","53,267,000.00","5,729,310.00",Low,"Crime, Drama"
Goncharov,1973,217,"1,900,000.00","13,792,117.12","1,800,000.00","907,141.00",Low,"Crime, Drama"
The Texas Chain Saw Massacre,1974,83,"85,000.00","555,689.66","30,900,000.00","22,679.00",Low,Horror
The Lords of Flatbush,1974,86,"160,000.00","1,046,004.06","4,000,000.00","42,689.00",Low,Drama
Macon County Line,1974,89,"225,000.00","1,470,943.20","18,000,000.00","60,032.00",Low,"Drama, Action"
Death Wish,1974,93,"3,000,000.00","19,612,576.06","22,000,000.00","800,428.00",Low,"Crime, Drama, Action"
Blazing Saddles,1974,93,"2,600,000.00","16,997,565.92","119,500,000.00","693,704.00",Low,"Western, Comedy"
Black Christmas,1974,98,"620,000.00","4,053,265.72","4,053,000.00","165,422.00",Low,"Horror, Mystery, Thriller"
Zardoz,1974,105,"1,570,000.00","10,263,914.81","1,800,000.00","418,891.00",Low,"Fantasy, Action, Thriller, Science Fiction"
Gone in 60 Seconds,1974,105,"1,000,000.00","6,537,525.35","40,000,000.00","266,809.00",Low,"Action, Crime"
Young Frankenstein,1974,106,"2,800,000.00","18,305,070.99","86,273,333.00","747,066.00",Low,Comedy
Airport 1975,1974,107,"3,000,000.00","19,612,576.06","47,000,000.00","800,428.00",Low,"Action, Thriller, Drama"
The Sugarland Express,1974,110,"3,000,000.00","19,612,576.06","12,800,000.00","800,428.00",Low,"Crime, Drama"
Alice Doesn't Live Here Anymore,1974,112,"1,800,000.00","11,767,545.64","21,000,000.00","480,257.00",Low,"Drama, Romance"
The Conversation,1974,113,"1,600,000.00","10,460,040.57","4,420,000.00","426,895.00",Low,"Crime, Drama, Mystery"
Harry and Tonto,1974,115,"980,000.00","6,406,774.85","4,600,000.00","261,473.00",Low,"Comedy, Drama, Adventure"
Thunderbolt and Lightfoot,1974,115,"4,000,000.00","26,150,101.42","25,000,000.00","1,067,237.00",Low,"Crime, Comedy, Action"
The Longest Yard,1974,121,"2,900,000.00","18,958,823.53","43,008,075.00","773,747.00",Low,"Comedy, Drama"
Earthquake,1974,123,"7,000,000.00","45,762,677.48","79,666,653.00","1,867,665.00",Low,"Action, Drama, Thriller"
The Man with the Golden Gun,1974,125,"7,000,000.00","45,762,677.48","97,572,000.00","1,867,665.00",Low,"Adventure, Action, Thriller"
Murder on the Orient Express,1974,128,"1,400,000.00","9,152,535.50","35,700,000.00","373,533.00",Low,"Drama, Thriller, Mystery"
Chinatown,1974,130,"6,000,000.00","39,225,152.13","30,000,000.00","1,600,856.00",Low,"Crime, Drama, Mystery, Thriller"
The Great Gatsby,1974,144,"6,500,000.00","42,493,914.81","26,533,200.00","1,734,261.00",Low,"Drama, Romance"
The Towering Inferno,1974,165,"14,000,000.00","91,525,354.97","116,000,000.00","3,735,331.00",Low,"Action, Drama, Thriller"
The Godfather Part II,1974,202,"13,000,000.00","84,987,829.61","102,600,000.00","3,468,521.00",Low,"Drama, Crime"
Death Race 2000,1975,80,"300,000.00","1,797,211.90","8,000,000.00","96,778.00",Low,"Action, Comedy, Science Fiction"
The Giant Spider Invasion,1975,84,"300,000.00","1,797,211.90","15,000,000.00","96,778.00",Low,"Horror, Science Fiction"
Love and Death,1975,85,"3,000,000.00","17,972,118.96","20,173,742.00","967,782.00",Low,"Comedy, War"
Shivers,1975,88,"179,000.00","1,072,336.43","1,000,000.00","57,744.00",Low,"Horror, Science Fiction"
"Aloha, Bobby and Rose",1975,88,"60,000.00","359,442.38","35,000,000.00","19,356.00",Low,"Drama, Romance, Action"
A Boy and His Dog,1975,90,"400,000.00","2,396,282.53","6,900,000.00","129,038.00",Low,"Drama, Science Fiction, Comedy"
Dolemite,1975,90,"120,000.00","718,884.76","12,000,000.00","38,711.00",Low,"Action, Comedy, Crime"
Monty Python and the Holy Grail,1975,91,"400,000.00","2,396,282.53","1,940,906.00","129,038.00",Low,"Adventure, Comedy, Fantasy"
Hard Times,1975,93,"2,700,000.00","16,174,907.06","5,000,000.00","871,004.00",Low,"Drama, Action, Crime"
"Farewell, My Lovely",1975,95,"2,500,000.00","14,976,765.80","2,000,000.00","806,485.00",Low,"Crime, Mystery, Thriller"
Breakout,1975,96,"1,000,000.00","5,990,706.32","16,000,000.00","322,594.00",Low,"Action, Adventure, Thriller"
The Rocky Horror Picture Show,1975,100,"1,200,000.00","7,188,847.58","112,892,319.00","387,113.00",Low,"Comedy, Science Fiction, Fantasy, Horror"
Capone,1975,101,"970,000.00","5,810,985.13","2,000,000.00","312,916.00",Low,"Crime, Drama"
Hearts of the West,1975,102,"2,000,000.00","11,981,412.64","1,600,000.00","645,188.00",Low,"Comedy, Western"
Cooley High,1975,107,"750,000.00","4,493,029.74","13,000,000.00","241,946.00",Low,"Comedy, Drama"
The Drowning Pool,1975,109,"2,700,000.00","16,174,907.06","2,600,000.00","871,004.00",Low,"Thriller, Mystery"
Shampoo,1975,110,"4,000,000.00","23,962,825.28","60,000,000.00","1,290,376.00",Low,"Comedy, Drama"
